LDCpointID,PrimaryKey,X_WSG1984,Y_WSG1984
10589,NV_EYDO_ESR_MEAD_2022_MEAD-BMIX-29_V12023-09-01,-114.56689233499998,37.256719616000055
10590,20193217206808B1,-114.43278351299995,37.27591715700004
10591,UT_St.George-LUP-Random-2021_CPL-070_V12021-09-01,-113.85458097199995,37.355785265000065
10594,COF03000_2019_HILL-0312019-09-01,-106.19993395999995,38.16412857800003
10595,CO_RGFO_LUP_2022_RA_019_V12022-09-01,-105.47184709099997,38.217893074000074
10596,19051708562559892019-09-01,-112.08982139299997,37.584735651000074
10597,20224917204208B1,-110.91606617199993,37.72199404700007
10598,UT_GSENM_LUP_2021_GSENM2021_NR_066_V12022-09-01,-111.27101400899994,37.681844959000045
10599,NV_EYDO_ESR_DODG_2023_DODG-NATREG-12_V12023-09-01,-114.057498007,37.330564379000066
10600,UT_St.George-LUP-Random-2021_SC-269_V12021-09-01,-113.94599586799995,37.34650536800007
10601,20193217206808B2,-114.43918681399998,37.27835715700007
10602,CO_CO_Tres_Rios_Field_Office_LUP_2018_SS-109_V12021-09-01,-108.60910798599997,37.96158027200005
10603,19051909193818152019-09-01,-110.92256917399999,37.72312474700004
10604,CO_TRFO_LUP_2018_PP_291_V12022-09-01,-108.90717593599999,37.93373685900008
10605,CO_TRFO_LUP_2023_TRFO2023-055_V22023-09-01,-108.90716343699995,37.93373819800007
10606,COF03000_2018_OTH-2072019-09-01,-106.45386678499995,38.14766011000006
10607,CO_SLVFO_LUP_2020_MTN-171_V22023-09-01,-105.86013049699993,38.19256023400004
10608,18062708372551942018-09-01,-105.86010513599996,38.19259614500004
10609,20224953204113B3,-114.02166174099995,37.33735549200003
10610,CO_SLVFO_LUP_2020_LOAM_119_V22022-09-01,-106.20911777199996,38.16729903800007
10611,NV_EYDO_ESR_GREG_2022_GREG_LSMIX_02_V12022-09-01,-114.90635464399996,37.213594218000026
10612,NV_EYDO_ESR_GREG_2022_GREG-LSMIX-02_V22023-09-01,-114.90634224399997,37.21359689800005
10613,16081110172624162016-09-01,-106.20911509199999,38.167313308000075
10614,CO_CO_San_Luis_Valley_LUP_2020_LOAM-121_V22021-09-01,-106.26675741499997,38.163539154000034
10615,19072508031141662019-09-01,-110.20093103299997,37.80381780600004
10616,16081107202822462016-09-01,-106.26673009499996,38.16358164400003
10617,1706271243216352017-09-01,-105.97007341999995,38.18592164700004
10618,CO_SLVFO_LUP_2020_LOAM_129_V22022-09-01,-106.33191418899997,38.15868567000006
10619,17083013471443742017-09-01,-106.33190856799997,38.15872277900007
10620,20224917204208B2,-110.91711117299997,37.72572744800004
10621,NV_EYDO_ESR_DODG_2023_DODG-NATREG-08_V12023-09-01,-114.05614126799996,37.334491058000026
10622,UT_GSENM-LUP-Random-2020_Salt-548_V12020-09-01,-111.95220725799999,37.606023083000025
10623,COF07000_2020_WySage-22612019-09-01,-106.71711499099997,38.12964667000006
10624,1907261601472152019-09-01,-110.76558614299995,37.74365376000003
10625,COF03000_2019_LOAM-1422019-09-01,-106.42416913899996,38.15296068300007
10626,CO_TRFO-2020_SS-089_V12020-09-01,-108.62789853999999,37.96378535200006
10627,19051010505392762019-09-01,-118.04290239999995,36.72304515300005
10628,CO_CO_San_Luis_Valley_LUP_2020_LOAMY-NR-005_V12021-09-01,-106.36828393599995,38.15785649700006
10629,CO_CO_Gunnison_Field_Office_LUP_2020_Forest_Other-023_V12021-09-01,-106.97841708699997,38.10937887000006
10630,CO_CO_Tres_Rios_Field_Office_LUP_2018_PP-281_V12021-09-01,-108.53326959099996,37.97307176900006
10631,UT_MFO_LUP_2019_DSHG-080_V12023-09-01,-110.27015691699995,37.79877628000003
